city_id,city,latitude,longitude,temperature,humidity,cloudiness,wind_speed,country,date_time
590,bunia,1.5667,30.25,69.93,64,100,0.96,CD,2026-03-04 15:13:45
591,kedrovyy,56.1667,91.8167,9.63,97,100,3.31,RU,2026-03-04 15:13:45
592,akureyri,65.6835,-18.0878,23.02,66,79,12.68,IS,2026-03-04 15:13:45
593,timbuktu,16.7735,-3.0074,79.27,6,2,11.81,ML,2026-03-04 15:13:45
594,tarauaca,-8.1614,-70.7656,79.41,84,98,1.36,BR,2026-03-04 15:13:45
595,pacific grove,36.6177,-121.9166,57.24,78,5,24.25,US,2026-03-04 15:13:45
596,kikwit,-5.041,18.8162,70.3,85,99,1.14,CD,2026-03-04 15:13:45
597,tara,56.8944,74.371,26.55,97,100,9.75,RU,2026-03-04 15:13:46
598,gereida,11.2811,25.1414,64.69,13,29,11.5,SD,2026-03-04 15:13:46
599,trinidad,-14.8333,-64.9,82.33,95,60,3.47,BO,2026-03-04 15:11:44
600,ambalangoda,6.2355,80.0538,78.06,79,94,3.29,LK,2026-03-04 15:13:46
601,petropavlovka,50.6114,105.3196,-14.71,96,67,3.0,RU,2026-03-04 15:13:46
602,pedro carbo,-1.8333,-80.2333,75.76,96,100,2.95,EC,2026-03-04 15:13:46
603,usinsk,65.9939,57.5281,-24.03,96,77,10.29,RU,2026-03-04 15:13:46
604,rio tuba,8.5061,117.4317,77.72,85,98,1.36,PH,2026-03-04 15:13:46
605,lask,51.5906,19.1328,34.18,82,16,7.23,PL,2026-03-04 15:13:46
606,olavarria,-36.8927,-60.3225,80.38,33,53,15.68,AR,2026-03-04 15:13:46
607,loudeac,48.1783,-2.7543,46.0,91,0,5.35,FR,2026-03-04 15:13:47
608,luwuk,-0.9516,122.7875,74.84,70,100,1.86,ID,2026-03-04 15:13:47
609,acarau,-2.8856,-40.12,78.28,87,99,10.13,BR,2026-03-04 15:13:47
610,bongouanou,6.6486,-4.1992,75.79,88,81,2.62,CI,2026-03-04 15:13:47
611,maicao,11.3832,-72.2432,83.91,53,1,18.28,CO,2026-03-04 15:13:47
612,mil'kovo,55.6078,37.7956,31.98,91,100,10.56,RU,2026-03-04 15:13:47
613,xapuri,-10.6517,-68.5044,88.09,76,96,3.22,BR,2026-03-04 15:13:47
614,beloomut,54.9448,39.3394,32.0,97,100,8.43,RU,2026-03-04 15:13:47
615,lata,40.1629,-8.3327,47.93,94,0,1.25,PT,2026-03-04 15:13:47
616,boajibu,8.1833,-11.3333,75.85,92,66,2.17,SL,2026-03-04 15:13:47
617,luninyets,52.2472,26.8047,32.29,90,9,10.38,BY,2026-03-04 15:13:48
618,valday,57.9747,33.2525,31.42,98,100,8.08,RU,2026-03-04 15:13:48
619,shache,38.4167,77.2406,44.56,35,21,5.35,CN,2026-03-04 15:13:48
620,visegrad,43.7847,19.2992,47.64,84,100,2.75,BA,2026-03-04 15:13:48
621,abaete,-19.16,-45.4458,73.99,86,66,3.65,BR,2026-03-04 15:13:48
622,queenstown,-31.8976,26.8753,65.77,41,5,3.71,ZA,2026-03-04 15:13:48
